max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
3.0,1.0,3.0,3.0,0.7626666666666666,0.581578947368421,0.5858245389060609,0.646876705384168,0.7626666666666666,1746961473.1968443,1746961473.209172,0.7883408071748879
3.0,1.0,1.0,2.0,0.7626666666666666,0.581578947368421,0.5858245389060609,0.646876705384168,0.7626666666666666,1746961517.893482,1746961517.9059024,0.7892376681614349
13.0,1.0,7.0,80.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746961569.7432032,1746961569.7554255,0.7856502242152467
13.0,0.0,11.0,50.0,0.7626666666666666,0.5739766081871345,0.5765446968449612,0.6503226371165447,0.7626666666666666,1746961626.2112064,1746961626.2237766,0.7838565022421525
5.0,0.0,1.0,3.0,0.7706666666666667,0.5830409356725146,0.5866200195956872,0.6694532063726996,0.7706666666666667,1746961680.1108687,1746961680.12309,0.7955156950672645
1.0,1.0,1.0,2.0,0.76,0.5,0.4318181818181818,0.38,0.76,1746961738.553538,1746961738.5660148,0.7623318385650224
8.0,1.0,1.0,3.0,0.752,0.5973684210526315,0.6056804160056408,0.6365498838079484,0.752,1746961796.7747016,1746961796.786934,0.8322869955156952
8.0,0.0,3.0,3.0,0.784,0.618421052631579,0.6331854789314334,0.7042670213894971,0.784,1746961842.3538911,1746961842.3662558,0.8080717488789239
8.0,0.0,1.0,2.0,0.776,0.6169590643274854,0.6307633821846459,0.6863419644203226,0.776,1746961901.0598335,1746961901.0720224,0.822421524663677
5.0,0.0,15.0,3.0,0.7653333333333333,0.5833333333333333,0.5897433813146135,0.6588641231463882,0.7653333333333333,1746961939.0996187,1746961939.1118865,0.7838565022421524
3.0,1.0,3.0,50.0,0.7626666666666666,0.581578947368421,0.5858245389060609,0.646876705384168,0.7626666666666666,1746961986.2318487,1746961986.2442718,0.7865470852017937
